MONITORING_POINT_ALIAS_ID,pH,n
BELL_0.4,6.945,4
BIG_MILL,6.55,2
BYRNES_RUN,7,2
DENTS_9.2,7.165,4
E_BR_MILSTNE,5.266666666666667,3
E_HICKORY,7,2
ELKHORN_RUN,7,2
FIVEMILE_RUN,6.05,2
FOOLS_CREEK,6.699999999999999,2
HAMLIN_RUN,5.65,2
LAMENTATION,5.300000000000001,2
LAUREL_ELK,6.85,2
MILL_RUN,4.4,2
MINISTER_CRK,6.65,2
NF_REDBANK,6.55,2
PRCUPINE_0.1,6.130000000000001,4
UNT_SB_KINZU,5.65,2
WB_BLUEJAY,6.566666666666666,3
WB_HICKS,7.133333333333333,3
WEST_FORK,6.366666666666667,3
WILDCAT_RUN,6.65,2
WQN0296,7.04,23
WQN0297,6.91,23
WQN0626,7.01,23
WQN0627,7.385,22
WQN0873,7.255,28
